ia,ib,ic,distance,location,type
25.92102495,0.300361206,0.15301622,10,0,0
25.67956142,0.299709603,0.15338294,20,0,0
25.44262055,0.299341154,0.153731252,30,0,0
25.21003065,0.298672466,0.154084544,40,0,0
24.98176828,0.297860378,0.154401262,50,0,0
24.75749245,0.297578673,0.154717455,60,0,0
24.53739272,0.297357158,0.155028116,70,0,0
24.32111402,0.296087802,0.155317578,80,0,0
24.10856307,0.295544349,0.155589071,90,0,0
23.89993217,0.295838046,0.155859115,100,0,0
23.69473164,0.29550966,0.156126808,110,0,0
23.49314252,0.294589768,0.156382684,120,0,0
23.29510846,0.293146756,0.156650918,130,0,0
23.10024975,0.292034771,0.156876794,140,0,0
22.9086327,0.291841248,0.15716978,150,0,0
22.72032213,0.291971511,0.157543586,160,0,0
22.53511097,0.292106282,0.157931952,170,0,0
22.35267911,0.292055847,0.158265948,180,0,0
22.17357406,0.291764608,0.158622751,190,0,0
21.99709005,0.291258347,0.158935521,200,0,0
21.82337437,0.290735968,0.159288698,210,0,0
21.65256425,0.290068321,0.159592568,220,0,0
21.48440734,0.289447914,0.159866056,230,0,0
21.31889998,0.288606922,0.16013255,240,0,0
21.15589172,0.287725521,0.160416409,250,0,0
20.99524431,0.286823643,0.160675645,260,0,0
20.83712692,0.28591978,0.160913035,270,0,0
20.68143249,0.284928035,0.161182981,280,0,0
20.52830444,0.284182025,0.161392342,290,0,0
20.37718311,0.283386393,0.161594006,300,0,0
20.22810689,0.282662962,0.161741646,310,0,0
20.08154298,0.282164407,0.161971413,320,0,0
19.93712485,0.2818203,0.162116475,330,0,0
19.79433335,0.28170844,0.162256205,340,0,0
19.65423994,0.281691767,0.162396815,350,0,0
19.51554074,0.281832096,0.162529053,360,0,0
19.37919816,0.281999374,0.162626031,370,0,0
19.24457384,0.2821757,0.162720053,380,0,0
19.11196567,0.282344665,0.162798959,390,0,0
18.9808626,0.282491795,0.162902941,400,0,0
18.85208103,0.282604827,0.162880418,410,0,0
18.72444863,0.282673825,0.163011723,420,0,0
18.59915205,0.282691169,0.163017245,430,0,0
18.47487346,0.282745544,0.16299744,440,0,0
18.35292849,0.282756547,0.163047569,450,0,0
18.23238026,0.282714431,0.16302512,460,0,0
18.11278175,0.282616164,0.163055956,470,0,0
17.99576079,0.282460312,0.162952439,480,0,0
17.87980571,0.282246845,0.162932233,490,0,0
17.76495928,0.281979965,0.163109895,500,0,0
17.65227034,0.281779357,0.163367684,510,0,0
17.54067929,0.281525872,0.163478364,520,0,0
17.43015293,0.281221305,0.163613018,530,0,0
17.32169666,0.280868142,0.163839706,540,0,0
17.21456569,0.280469455,0.164019492,550,0,0
17.10817575,0.280028767,0.164185856,560,0,0
17.00314591,0.279549918,0.164323916,570,0,0
16.89990866,0.279131924,0.164408169,580,0,0
16.79777899,0.278681197,0.164542484,590,0,0
16.69666694,0.278196852,0.164733987,600,0,0
16.59696346,0.277682558,0.164868305,610,0,0
16.49859262,0.277142045,0.164952033,620,0,0
16.40108938,0.27657904,0.165048738,630,0,0
16.30449584,0.275997217,0.165109535,640,0,0
16.20929969,0.275400153,0.165129051,650,0,0
16.11566367,0.274791289,0.16520332,660,0,0
16.0229942,0.274173903,0.165372678,670,0,0
15.93103903,0.273588413,0.165496649,680,0,0
15.83994305,0.272993379,0.165497002,690,0,0
15.7501614,0.272390762,0.165414036,700,0,0
15.66173238,0.271783286,0.165363539,710,0,0
15.57421007,0.271173501,0.165407003,720,0,0
15.48734868,0.270563781,0.165457214,730,0,0
15.40118008,0.26995631,0.165454491,740,0,0
15.31601852,0.269353092,0.165423995,750,0,0
15.23229336,0.268755942,0.165412561,760,0,0
15.14983287,0.268166494,0.165424775,770,0,0
15.06816941,0.267586206,0.165402716,780,0,0
14.98710745,0.267019096,0.165323381,790,0,0
14.90663367,0.26649704,0.165191795,800,0,0
14.82688401,0.265991227,0.165037118,810,0,0
14.74802967,0.265502083,0.164898448,820,0,0
14.67025235,0.265029909,0.164800025,830,0,0
14.59349525,0.26457489,0.164733422,840,0,0
14.51755408,0.264137099,0.164682235,850,0,0
14.44229365,0.263764758,0.164637814,860,0,0
14.36768297,0.263424745,0.164585025,870,0,0
14.29376082,0.263102027,0.164516925,880,0,0
14.22065746,0.262820646,0.164771565,890,0,0
14.14843181,0.262598328,0.165025909,900,0,0
14.07707965,0.26239055,0.165251123,910,0,0
14.00652477,0.262236031,0.165446289,920,0,0
13.93663503,0.262117559,0.165616629,930,0,0
13.86735492,0.262009325,0.165772021,940,0,0
13.79866988,0.261953863,0.1659261,950,0,0
13.73059762,0.26191538,0.166097504,960,0,0
13.66317445,0.261882371,0.166289853,970,0,0
13.59647339,0.261855178,0.166488408,980,0,0
13.53051629,0.261868974,0.166679439,990,0,0
13.46531905,0.261883847,0.166853417,1000,0,0
13.40080442,0.261899244,0.167014859,1010,0,0
13.33691281,0.261914648,0.167162624,1020,0,0
13.27360053,0.261929575,0.167301764,1030,0,0
13.21083344,0.261943573,0.167447182,1040,0,0
13.14859107,0.261956224,0.167595708,1050,0,0
13.08686713,0.26196714,0.167753261,1060,0,0
13.02566689,0.261986656,0.167912742,1070,0,0
12.96500288,0.262006692,0.168073895,1080,0,0
12.90489009,0.262022574,0.168229699,1090,0,0
12.84538222,0.262034109,0.168379955,1100,0,0
12.78645871,0.262041126,0.168526868,1110,0,0
12.72815181,0.262043476,0.168671564,1120,0,0
12.67044004,0.262041031,0.168814224,1130,0,0
12.61331632,0.26203368,0.168956644,1140,0,0
12.55673962,0.262021333,0.169100308,1150,0,0
12.50067365,0.262003915,0.169246295,1160,0,0
12.44510468,0.261981366,0.169395298,1170,0,0
